2026-07-26 20:09:12 | INFO     | nis.__main__ | Starting Numerical Integration Studio v1.0.0
2026-07-26 20:09:13 | INFO     | nis.database.db_manager | Database schema initialized at data/history.db
2026-07-26 20:09:16 | INFO     | nis.services.theme_service | Applied 'light' theme
2026-07-26 20:09:52 | INFO     | nis.services.theme_service | Applied 'dark' theme
2026-07-26 20:09:52 | INFO     | nis.utils.config_manager | Setting 'theme' updated to 'dark'
2026-07-26 20:11:32 | INFO     | nis.controllers.integration_controller | Computed 1 method(s) for 'x/(1+x)' on [0.0, 1.0] with n=6
2026-07-26 20:11:32 | INFO     | nis.database.db_manager | Inserted history entry id=1
2026-07-26 20:12:07 | INFO     | nis.controllers.convergence_controller | Ran convergence sweep for methods ['trapezoidal'] over n in [1, 2, 3, 6, 12, 24, 48]
2026-07-26 20:12:12 | INFO     | nis.services.pdf_report_service | Generated PDF report at D:\NumericalIntegrationStudio\calculation_report.pdf
2026-07-26 20:12:12 | INFO     | nis.controllers.report_controller | Exported PDF report to D:/NumericalIntegrationStudio/calculation_report.pdf
2026-08-03 00:33:44 | INFO     | nis.__main__ | Starting Numerical Integration Studio v1.0.0
2026-08-03 00:33:46 | INFO     | nis.database.db_manager | Database schema initialized at data/history.db
2026-08-03 00:33:51 | INFO     | nis.services.theme_service | Applied 'dark' theme
2026-08-03 00:36:56 | INFO     | nis.database.db_manager | Database connection closed
2026-08-03 00:36:56 | INFO     | nis.__main__ | Numerical Integration Studio exited with code 0
2026-08-03 00:39:12 | INFO     | nis.__main__ | Starting Numerical Integration Studio v1.0.0
2026-08-03 00:39:13 | INFO     | nis.database.db_manager | Database schema initialized at data/history.db
2026-08-03 00:39:14 | INFO     | nis.services.theme_service | Applied 'dark' theme
2026-08-03 00:39:44 | INFO     | nis.utils.config_manager | Settings updated: decimal_precision, default_intervals, theme
2026-08-03 00:39:54 | INFO     | nis.utils.config_manager | Settings updated: decimal_precision, default_intervals, theme
2026-08-03 00:39:54 | INFO     | nis.services.theme_service | Applied 'light' theme
2026-08-03 00:39:54 | INFO     | nis.utils.config_manager | Setting 'theme' updated to 'light'
2026-08-03 00:40:06 | INFO     | nis.utils.config_manager | Settings updated: decimal_precision, default_intervals, theme
2026-08-03 00:40:06 | INFO     | nis.services.theme_service | Applied 'dark' theme
2026-08-03 00:40:06 | INFO     | nis.utils.config_manager | Setting 'theme' updated to 'dark'
2026-08-03 00:40:16 | INFO     | nis.utils.config_manager | Settings updated: decimal_precision, default_intervals, theme
2026-08-03 00:40:16 | INFO     | nis.services.theme_service | Applied 'light' theme
2026-08-03 00:40:16 | INFO     | nis.utils.config_manager | Setting 'theme' updated to 'light'
